Iteration:	Current:	Voltage:	Time:
1	1.085537076	3.7200467587	06/15/2017 02:10:11.172103300
2	1.1000738144	3.7294275761	06/15/2017 02:10:12.228275300
3	1.1000739336	3.7308924198	06/15/2017 02:10:13.225203800
4	1.1000725031	3.7321128845	06/15/2017 02:10:14.222094900
5	1.1000686884	3.7331840992	06/15/2017 02:10:15.219050140
6	1.10006845	3.7341678143	06/15/2017 02:10:16.215951080
7	1.1000722647	3.7350802422	06/15/2017 02:10:17.212842980
8	1.1000710726	3.7359335423	06/15/2017 02:10:18.209766020
9	1.1000726223	3.7367463112	06/15/2017 02:10:19.206673020
10	1.1000669003	3.7375092506	06/15/2017 02:10:20.203524740
11	1.1000709534	3.7382471561	06/15/2017 02:10:21.200455840
12	1.1000699997	3.738948822	06/15/2017 02:10:22.197327120
13	1.1000676155	3.7396116257	06/15/2017 02:10:23.194231820
14	1.1000676155	3.7402667999	06/15/2017 02:10:24.191113900
15	1.100069046	3.7408893108	06/15/2017 02:10:25.188044500
16	1.1000651121	3.7414879799	06/15/2017 02:10:26.184928740
17	1.1000702381	3.7420732975	06/15/2017 02:10:27.181851400
18	1.100069046	3.7426419258	06/15/2017 02:10:28.178763860
19	1.1000660658	3.7431986332	06/15/2017 02:10:29.175696280
20	1.1000705957	3.7437241077	06/15/2017 02:10:30.172595360
21	1.1000676155	3.7442483902	06/15/2017 02:10:31.169514120
22	1.1000739336	3.7447531223	06/15/2017 02:10:32.166406080
23	1.1000688076	3.7452447414	06/15/2017 02:10:33.163301380
24	1.1000704765	3.7457203865	06/15/2017 02:10:34.160198000
25	1.1000677347	3.7461845875	06/15/2017 02:10:35.157107920
26	1.1000744104	3.7466480732	06/15/2017 02:10:36.153982360
27	1.1000704765	3.7470915318	06/15/2017 02:10:37.150906780
28	1.1000695229	3.7475321293	06/15/2017 02:10:38.147795760
29	1.100075841	3.7479567528	06/15/2017 02:10:39.144700580
30	1.1000709534	3.7483711243	06/15/2017 02:10:40.141583280
