Iteration:	Current:	Voltage:	Time:
1	-5.8192996979	3.7137665749	06/15/2017 04:09:03.714066560
2	-3.0811975002	3.8796482086	06/15/2017 04:09:04.711898540
3	-3.410330534	3.8687813282	06/15/2017 04:09:05.709752900
4	-0.078577771783	4.1231398582	06/15/2017 04:09:06.707601120
5	-6.2725553513	3.6657459736	06/15/2017 04:09:07.705432420
6	-5.8205180168	3.6449811459	06/15/2017 04:09:08.703313400
7	-5.2558412552	3.6836051941	06/15/2017 04:09:09.701139080
8	-1.6553287506	3.9640927315	06/15/2017 04:09:10.698930680
9	-3.9607064724	3.8115816116	06/15/2017 04:09:11.696752360
10	-4.8623480797	3.719802618	06/15/2017 04:09:12.694566720
11	-0.23632088304	4.0708665848	06/15/2017 04:09:13.692373140
12	-4.9832482338	3.7375581264	06/15/2017 04:09:14.690188380
13	-5.0673308372	3.6894237995	06/15/2017 04:09:15.688005380
14	-2.1731276512	3.910119772	06/15/2017 04:09:16.685826920
15	-5.6753487587	3.6569373608	06/15/2017 04:09:17.683682560
16	-0.96054852009	3.9954352379	06/15/2017 04:09:18.681499280
17	-1.225394249	4.0127663612	06/15/2017 04:09:19.679278820
18	-0.35593667626	4.0812549591	06/15/2017 04:09:20.677111900
19	-1.2152597904	4.023680687	06/15/2017 04:09:21.674900200
20	-4.8761348724	3.7306602001	06/15/2017 04:09:22.672727900
21	-6.1425504684	3.5969891548	06/15/2017 04:09:23.670569260
22	-5.9443655014	3.5954296589	06/15/2017 04:09:24.668395660
23	-4.5014500618	3.7034595013	06/15/2017 04:09:25.666260820
24	-0.57750618458	4.0186815262	06/15/2017 04:09:26.664088240
25	-1.8687044382	3.9519047737	06/15/2017 04:09:27.661955000
26	-4.3807749748	3.7462565899	06/15/2017 04:09:28.659768760
27	-6.3737220764	3.5663807392	06/15/2017 04:09:29.657616360
28	-3.0839090347	3.8032982349	06/15/2017 04:09:30.655465280
29	-6.6318507195	3.5470073223	06/15/2017 04:09:31.653326200
30	-4.7454514503	3.663649559	06/15/2017 04:09:32.651162140
31	-4.1197986603	3.722484827	06/15/2017 04:09:33.648997420
32	-2.3506243229	3.8647150993	06/15/2017 04:09:34.649324200
33	-6.6765556335	3.5393664837	06/15/2017 04:09:35.649619660
34	-1.9568378925	3.8727562428	06/15/2017 04:09:36.649931900
35	-3.5009326935	3.7878100872	06/15/2017 04:09:37.650230400
36	-5.6794190407	3.6043729782	06/15/2017 04:09:38.650522400
37	-1.3744182587	3.9217362404	06/15/2017 04:09:39.650822280
38	-4.8172445297	3.6864116192	06/15/2017 04:09:40.651113660
39	-4.7299056053	3.664403677	06/15/2017 04:09:41.651401120
40	-1.8589975834	3.88697505	06/15/2017 04:09:42.651730180
41	-4.9967985153	3.6643819809	06/15/2017 04:09:43.652030220
42	-5.7714352608	3.5766239166	06/15/2017 04:09:44.652382740
43	-5.2500724792	3.606814146	06/15/2017 04:09:45.652685620
44	-1.0189396143	3.9392299652	06/15/2017 04:09:46.653023640
