Current, Voltage, Seconds
-7.11183e-05,4.19251,06/19/2017 14:15:56.955741120
-2.19783,4.04435,06/19/2017 14:15:58.102008940
-2.19783,4.03627,06/19/2017 14:15:59.136386620
-2.19783,4.03261,06/19/2017 14:16:00.135954900
-2.19783,4.02959,06/19/2017 14:16:01.135518020
-2.19783,4.02692,06/19/2017 14:16:02.135073440
-2.19783,4.02448,06/19/2017 14:16:03.134671640
-2.19783,4.02223,06/19/2017 14:16:04.134212900
-2.19783,4.02011,06/19/2017 14:16:05.133799720
-2.19783,4.01811,06/19/2017 14:16:06.133389780
-2.19783,4.01621,06/19/2017 14:16:07.133021580
-2.19783,4.0144,06/19/2017 14:16:08.132566080
-2.19783,4.01266,06/19/2017 14:16:09.132104460
-2.19783,4.01099,06/19/2017 14:16:10.131666280
-2.19783,4.00938,06/19/2017 14:16:11.131181920
-2.19783,4.00782,06/19/2017 14:16:12.130735320
-2.19783,4.00632,06/19/2017 14:16:13.130278620
-2.19783,4.00487,06/19/2017 14:16:14.129850840
-2.19783,4.00346,06/19/2017 14:16:15.129370360
-2.19783,4.00209,06/19/2017 14:16:16.128921480
-2.19783,4.00075,06/19/2017 14:16:17.128454280
-2.19783,3.99946,06/19/2017 14:16:18.127981380
-2.19783,3.99819,06/19/2017 14:16:19.127495540
-2.19783,3.99696,06/19/2017 14:16:20.127076540
-2.19783,3.99575,06/19/2017 14:16:21.126692600
-2.19783,3.99457,06/19/2017 14:16:22.126235360
-2.19783,3.99342,06/19/2017 14:16:23.125777040
-2.19783,3.9923,06/19/2017 14:16:24.125327140
-2.19783,3.99119,06/19/2017 14:16:25.124887460
-2.19783,3.99012,06/19/2017 14:16:26.124470620
-2.19783,3.98905,06/19/2017 14:16:27.124024020
-2.19783,3.98802,06/19/2017 14:16:28.123619340
-2.19783,3.98699,06/19/2017 14:16:29.123217400
-2.19783,3.986,06/19/2017 14:16:30.122780040
-2.19783,3.98501,06/19/2017 14:16:31.122324200
-2.19783,3.98405,06/19/2017 14:16:32.121876220
-2.19783,3.9831,06/19/2017 14:16:33.121403320
-2.19783,3.98217,06/19/2017 14:16:34.120943220
-2.19783,3.98126,06/19/2017 14:16:35.120488480
-2.19783,3.98035,06/19/2017 14:16:36.120039980
-2.19783,3.97945,06/19/2017 14:16:37.119582200
-2.19783,3.97859,06/19/2017 14:16:38.119168700
-2.19783,3.97772,06/19/2017 14:16:39.118711780
-2.19783,3.97687,06/19/2017 14:16:40.118255020
-2.19784,3.97604,06/19/2017 14:16:41.117795700
-2.19783,3.97521,06/19/2017 14:16:42.117403960
-2.19783,3.9744,06/19/2017 14:16:43.116972060
-2.19783,3.9736,06/19/2017 14:16:44.116536120
-2.19783,3.9728,06/19/2017 14:16:45.116087960
-2.19783,3.97202,06/19/2017 14:16:46.115655220
-2.19783,3.97124,06/19/2017 14:16:47.115207600
-2.19783,3.97048,06/19/2017 14:16:48.114770040
-2.19784,3.96973,06/19/2017 14:16:49.114336640
-2.19784,3.96898,06/19/2017 14:16:50.113947560
-2.19784,3.96825,06/19/2017 14:16:51.113500180
-2.19784,3.96752,06/19/2017 14:16:52.113053580
-2.19783,3.9668,06/19/2017 14:16:53.112576960
-2.19784,3.96608,06/19/2017 14:16:54.112114600
-2.19784,3.96539,06/19/2017 14:16:55.111631380
-2.19784,3.96469,06/19/2017 14:16:56.111184160
-2.19783,3.96399,06/19/2017 14:16:57.110713880
-2.19784,3.96332,06/19/2017 14:16:58.110234440
-2.19783,3.96264,06/19/2017 14:16:59.109747620
-2.19783,3.96197,06/19/2017 14:17:00.109288200
-2.19783,3.9613,06/19/2017 14:17:01.108808680
-2.19783,3.96065,06/19/2017 14:17:02.108348980
-2.19783,3.96,06/19/2017 14:17:03.107908520
-2.19784,3.95935,06/19/2017 14:17:04.107438820
-2.19783,3.95871,06/19/2017 14:17:05.106978500
-2.19783,3.95808,06/19/2017 14:17:06.106652760
-2.19783,3.95745,06/19/2017 14:17:07.106141960
-2.19783,3.95682,06/19/2017 14:17:08.105651520
-2.19783,3.95621,06/19/2017 14:17:09.105149120
-2.19783,3.95559,06/19/2017 14:17:10.104690780
-2.19783,3.95499,06/19/2017 14:17:11.105657100
-2.19783,3.95438,06/19/2017 14:17:12.105206840
-2.19783,3.95378,06/19/2017 14:17:13.104753840
-2.19783,3.95318,06/19/2017 14:17:14.104366700
-2.19783,3.95259,06/19/2017 14:17:15.103884420
-2.19784,3.95202,06/19/2017 14:17:16.103394120
-2.19784,3.95143,06/19/2017 14:17:17.102908360
-2.19783,3.95085,06/19/2017 14:17:18.102433700
-2.19783,3.95027,06/19/2017 14:17:19.101973440
-2.19783,3.94971,06/19/2017 14:17:20.101484920
-2.19783,3.94914,06/19/2017 14:17:21.100987220
-2.19783,3.94859,06/19/2017 14:17:22.100507900
-2.19783,3.94802,06/19/2017 14:17:23.100003920
-2.19783,3.94747,06/19/2017 14:17:24.099606040
-2.19783,3.94691,06/19/2017 14:17:25.099142580
-2.19783,3.94637,06/19/2017 14:17:26.098755320
-2.19783,3.94582,06/19/2017 14:17:27.098266760
-2.19783,3.94529,06/19/2017 14:17:28.097787940
-2.19783,3.94474,06/19/2017 14:17:29.097298060
-2.19783,3.9442,06/19/2017 14:17:30.096818780
-2.19783,3.94367,06/19/2017 14:17:31.096351660
-2.19783,3.94314,06/19/2017 14:17:32.095881880
-2.19783,3.94261,06/19/2017 14:17:33.095414040
-2.19783,3.94209,06/19/2017 14:17:34.094921440
-2.19783,3.94157,06/19/2017 14:17:35.094429740
-2.19783,3.94104,06/19/2017 14:17:36.093956160
-2.19784,3.94053,06/19/2017 14:17:37.093463380
-2.19783,3.94002,06/19/2017 14:17:38.092977940
-2.19783,3.93951,06/19/2017 14:17:39.092517740
-2.19783,3.939,06/19/2017 14:17:40.092073140
-2.19783,3.9385,06/19/2017 14:17:41.091605520
-2.19783,3.938,06/19/2017 14:17:42.091118040
-2.19783,3.93749,06/19/2017 14:17:43.090630440
-2.19783,3.93699,06/19/2017 14:17:44.090150700
-2.19783,3.93649,06/19/2017 14:17:45.089683020
-2.19783,3.936,06/19/2017 14:17:46.089248960
-2.19783,3.93551,06/19/2017 14:17:47.088764960
-2.19783,3.93502,06/19/2017 14:17:48.088268960
-2.19783,3.93452,06/19/2017 14:17:49.087803080
-2.19783,3.93404,06/19/2017 14:17:50.087334260
-2.19783,3.93354,06/19/2017 14:17:51.086830800
-2.19783,3.93307,06/19/2017 14:17:52.086351580
-2.19783,3.93259,06/19/2017 14:17:53.085883680
-2.19784,3.93211,06/19/2017 14:17:54.085403720
-2.19783,3.93163,06/19/2017 14:17:55.084931640
-2.19783,3.93116,06/19/2017 14:17:56.084451000
-2.19783,3.93067,06/19/2017 14:17:57.083991940
-2.19783,3.93021,06/19/2017 14:17:58.083530860
-2.19784,3.92973,06/19/2017 14:17:59.083077960
-2.19783,3.92926,06/19/2017 14:18:00.082614860
-2.19783,3.9288,06/19/2017 14:18:01.082130840
-2.19783,3.92834,06/19/2017 14:18:02.081657180
-2.19783,3.92788,06/19/2017 14:18:03.081157800
-2.19783,3.92741,06/19/2017 14:18:04.080691580
-2.19783,3.92695,06/19/2017 14:18:05.080268060
-2.19783,3.92648,06/19/2017 14:18:06.079857920
-2.19783,3.92603,06/19/2017 14:18:07.079364840
-2.19783,3.92557,06/19/2017 14:18:08.078872420
-2.19783,3.92512,06/19/2017 14:18:09.078392460
-2.19783,3.92468,06/19/2017 14:18:10.077912160
-2.19783,3.92422,06/19/2017 14:18:11.077665860
-2.19783,3.92377,06/19/2017 14:18:12.077182960
-2.19783,3.92332,06/19/2017 14:18:13.076740400
-2.19783,3.92287,06/19/2017 14:18:14.076273580
-2.19783,3.92242,06/19/2017 14:18:15.075821780
-2.19783,3.92197,06/19/2017 14:18:16.075356200
-2.19783,3.92153,06/19/2017 14:18:17.074890260
-2.19783,3.92109,06/19/2017 14:18:18.074406880
-2.19783,3.92066,06/19/2017 14:18:19.073933020
-2.19783,3.92021,06/19/2017 14:18:20.073449280
-2.19783,3.91977,06/19/2017 14:18:21.072975080
-2.19783,3.91933,06/19/2017 14:18:22.072476300
-2.19783,3.9189,06/19/2017 14:18:23.071991160
-2.19783,3.91845,06/19/2017 14:18:24.071500560
-2.19783,3.91802,06/19/2017 14:18:25.071040420
-2.19783,3.91759,06/19/2017 14:18:26.070631800
-2.19783,3.91715,06/19/2017 14:18:27.070157700
-2.19783,3.91671,06/19/2017 14:18:28.069678040
-2.19783,3.91629,06/19/2017 14:18:29.069217440
-2.19783,3.91586,06/19/2017 14:18:30.068750440
-2.19783,3.91543,06/19/2017 14:18:31.068296600
-2.19783,3.91501,06/19/2017 14:18:32.067858240
-2.19783,3.91458,06/19/2017 14:18:33.067418340
-2.19783,3.91415,06/19/2017 14:18:34.066986080
-2.19783,3.91373,06/19/2017 14:18:35.066519460
-2.19783,3.9133,06/19/2017 14:18:36.066077180
-2.19783,3.91288,06/19/2017 14:18:37.065591540
-2.19783,3.91246,06/19/2017 14:18:38.065132420
-2.19783,3.91203,06/19/2017 14:18:39.064689580
-2.19784,3.91161,06/19/2017 14:18:40.064209940
-2.19783,3.9112,06/19/2017 14:18:41.063723720
-2.19783,3.91078,06/19/2017 14:18:42.063257960
-2.19783,3.91036,06/19/2017 14:18:43.062772800
-2.19783,3.90994,06/19/2017 14:18:44.062291220
-2.19783,3.90952,06/19/2017 14:18:45.061813680
-2.19783,3.90911,06/19/2017 14:18:46.061419960
-2.19783,3.9087,06/19/2017 14:18:47.061011160
-2.19783,3.90829,06/19/2017 14:18:48.060570060
-2.19783,3.90787,06/19/2017 14:18:49.060090140
-2.19783,3.90746,06/19/2017 14:18:50.059652880
-2.19783,3.90706,06/19/2017 14:18:51.059194700
-2.19783,3.90664,06/19/2017 14:18:52.058710940
-2.19783,3.90623,06/19/2017 14:18:53.058272060
-2.19783,3.90582,06/19/2017 14:18:54.057790480
-2.19783,3.90541,06/19/2017 14:18:55.057296560
-2.19783,3.905,06/19/2017 14:18:56.056854160
-2.19783,3.90459,06/19/2017 14:18:57.056360760
-2.19783,3.90419,06/19/2017 14:18:58.055901520
-2.19783,3.90379,06/19/2017 14:18:59.055424860
-2.19783,3.90338,06/19/2017 14:19:00.054966480
-2.19783,3.90298,06/19/2017 14:19:01.054501980
-2.19783,3.90258,06/19/2017 14:19:02.054017740
-2.19783,3.90217,06/19/2017 14:19:03.053537860
-2.19783,3.90177,06/19/2017 14:19:04.053080060
-2.19783,3.90137,06/19/2017 14:19:05.052590660
-2.19783,3.90097,06/19/2017 14:19:06.052168960
-2.19783,3.90057,06/19/2017 14:19:07.051726280
-2.19783,3.90017,06/19/2017 14:19:08.051258200
-2.19783,3.89977,06/19/2017 14:19:09.050788140
-2.19783,3.89937,06/19/2017 14:19:10.050349500
-2.19783,3.89898,06/19/2017 14:19:11.049885600
-2.19783,3.89858,06/19/2017 14:19:12.049408880
-2.19783,3.89818,06/19/2017 14:19:13.048941440
-2.19783,3.89779,06/19/2017 14:19:14.048470360
-2.19783,3.8974,06/19/2017 14:19:15.047998940
-2.19783,3.89699,06/19/2017 14:19:16.047523620
-2.19783,3.8966,06/19/2017 14:19:17.047047720
-2.19783,3.89621,06/19/2017 14:19:18.046559980
-2.19783,3.89581,06/19/2017 14:19:19.046117920
-2.19783,3.89543,06/19/2017 14:19:20.045622580
-2.19783,3.89504,06/19/2017 14:19:21.045174660
-2.19783,3.89464,06/19/2017 14:19:22.044700180
-2.19783,3.89425,06/19/2017 14:19:23.044222940
-2.19783,3.89387,06/19/2017 14:19:24.043790320
-2.19783,3.89348,06/19/2017 14:19:25.043414440
-2.19783,3.89309,06/19/2017 14:19:26.042940460
-2.19783,3.89268,06/19/2017 14:19:27.042518680
-2.19783,3.8923,06/19/2017 14:19:28.042078860
-2.19783,3.89192,06/19/2017 14:19:29.041586500
-2.19783,3.89153,06/19/2017 14:19:30.041150900
-2.19783,3.89114,06/19/2017 14:19:31.040644280
-2.19783,3.89076,06/19/2017 14:19:32.040110140
-2.19784,3.89038,06/19/2017 14:19:33.039594020
-2.19783,3.88999,06/19/2017 14:19:34.039105360
-2.19783,3.88961,06/19/2017 14:19:35.038565020
-2.19784,3.88923,06/19/2017 14:19:36.038032660
-2.19783,3.88884,06/19/2017 14:19:37.037565880
-2.19784,3.88846,06/19/2017 14:19:38.037057320
-2.19783,3.88808,06/19/2017 14:19:39.036517660
-2.19783,3.8877,06/19/2017 14:19:40.036010840
-2.19783,3.88731,06/19/2017 14:19:41.035503080
-2.19783,3.88693,06/19/2017 14:19:42.034969620
-2.19783,3.88655,06/19/2017 14:19:43.034445360
-2.19783,3.88618,06/19/2017 14:19:44.033928060
-2.19783,3.88579,06/19/2017 14:19:45.033457820
-2.19784,3.88542,06/19/2017 14:19:46.032952640
-2.19783,3.88503,06/19/2017 14:19:47.032433160
-2.19784,3.88467,06/19/2017 14:19:48.032023660
-2.19783,3.88428,06/19/2017 14:19:49.031483200
-2.19783,3.8839,06/19/2017 14:19:50.030971360
-2.19783,3.88353,06/19/2017 14:19:51.030473860
-2.19783,3.88315,06/19/2017 14:19:52.030013560
-2.19783,3.88279,06/19/2017 14:19:53.029492920
-2.19783,3.88241,06/19/2017 14:19:54.028982600
-2.19783,3.88203,06/19/2017 14:19:55.028514500
-2.19783,3.88165,06/19/2017 14:19:56.028001660
-2.19783,3.88129,06/19/2017 14:19:57.027496500
-2.19783,3.8809,06/19/2017 14:19:58.026997940
-2.19783,3.88054,06/19/2017 14:19:59.026481640
-2.19783,3.88016,06/19/2017 14:20:00.025971740
-2.19783,3.8798,06/19/2017 14:20:01.025433600
-2.19783,3.87942,06/19/2017 14:20:02.024903980
-2.19783,3.87903,06/19/2017 14:20:03.024407320
-2.19783,3.87867,06/19/2017 14:20:04.023901360
-2.19783,3.87831,06/19/2017 14:20:05.023380500
-2.19783,3.87792,06/19/2017 14:20:06.022846080
-2.19783,3.87756,06/19/2017 14:20:07.022342500
-2.19783,3.8772,06/19/2017 14:20:08.021826560
-2.19783,3.87683,06/19/2017 14:20:09.021316460
-2.19783,3.87647,06/19/2017 14:20:10.020807840
-2.19783,3.87609,06/19/2017 14:20:11.020317900
-2.19783,3.87572,06/19/2017 14:20:12.019808980
-2.19783,3.87534,06/19/2017 14:20:13.019276820
-2.19783,3.87498,06/19/2017 14:20:14.018758820
-2.19783,3.8746,06/19/2017 14:20:15.018257460
-2.19783,3.87425,06/19/2017 14:20:16.017740320
-2.19783,3.87388,06/19/2017 14:20:17.017200940
-2.19783,3.87352,06/19/2017 14:20:18.016715580
-2.19783,3.87315,06/19/2017 14:20:19.016229780
-2.19783,3.87277,06/19/2017 14:20:20.015723980
-2.19783,3.87242,06/19/2017 14:20:21.015195260
-2.19783,3.87207,06/19/2017 14:20:22.014715300
-2.19783,3.87168,06/19/2017 14:20:23.014264420
-2.19783,3.87133,06/19/2017 14:20:24.013805540
-2.19783,3.87096,06/19/2017 14:20:25.013290440
-2.19783,3.87059,06/19/2017 14:20:26.012778940
-2.19783,3.87022,06/19/2017 14:20:27.012303380
-2.19784,3.86988,06/19/2017 14:20:28.011828200
-2.19784,3.86952,06/19/2017 14:20:29.011316940
-2.19783,3.86914,06/19/2017 14:20:30.010822680
-2.19783,3.8688,06/19/2017 14:20:31.010332720
-2.19783,3.86842,06/19/2017 14:20:32.009810560
-2.19783,3.86805,06/19/2017 14:20:33.009291760
-2.19783,3.86772,06/19/2017 14:20:34.008763880
-2.19783,3.86734,06/19/2017 14:20:35.008260740
-2.19783,3.86698,06/19/2017 14:20:36.007746280
-2.19783,3.86662,06/19/2017 14:20:37.007228940
