Current, Voltage, Seconds
-7.28716e-05,4.19068,06/16/2017 15:58:29.054146060
-2.19784,4.00724,06/16/2017 15:58:30.200110640
-2.19784,3.99789,06/16/2017 15:58:31.235016740
-2.19784,3.99403,06/16/2017 15:58:32.234512280
-2.19784,3.99085,06/16/2017 15:58:33.234039160
-2.19784,3.98807,06/16/2017 15:58:34.233510640
-2.19784,3.98552,06/16/2017 15:58:35.232999340
-2.19784,3.98315,06/16/2017 15:58:36.232480140
-2.19784,3.98095,06/16/2017 15:58:37.231958220
-2.19784,3.97885,06/16/2017 15:58:38.231457640
-2.19784,3.97688,06/16/2017 15:58:39.231004340
-2.19784,3.97498,06/16/2017 15:58:40.230503680
-2.19784,3.97316,06/16/2017 15:58:41.229981000
-2.19784,3.97142,06/16/2017 15:58:42.229476160
-2.19784,3.96973,06/16/2017 15:58:43.228976620
-2.19784,3.96811,06/16/2017 15:58:44.228491440
-2.19784,3.96655,06/16/2017 15:58:45.227987240
-2.19784,3.96503,06/16/2017 15:58:46.227490500
-2.19784,3.96356,06/16/2017 15:58:47.226968480
-2.19784,3.96213,06/16/2017 15:58:48.226460740
-2.19784,3.96074,06/16/2017 15:58:49.225938480
-2.19784,3.95938,06/16/2017 15:58:50.225421700
-2.19784,3.95806,06/16/2017 15:58:51.224912760
-2.19784,3.95677,06/16/2017 15:58:52.224408080
-2.19784,3.95552,06/16/2017 15:58:53.223926880
-2.19784,3.95428,06/16/2017 15:58:54.223449340
-2.19784,3.9531,06/16/2017 15:58:55.222938240
-2.19784,3.95192,06/16/2017 15:58:56.222452500
-2.19784,3.95077,06/16/2017 15:58:57.221993100
-2.19784,3.94965,06/16/2017 15:58:58.221559500
-2.19784,3.94855,06/16/2017 15:58:59.221058160
-2.19784,3.94747,06/16/2017 15:59:00.220543640
-2.19784,3.9464,06/16/2017 15:59:01.220052840
-2.19784,3.94538,06/16/2017 15:59:02.219553640
-2.19784,3.94434,06/16/2017 15:59:03.219052800
-2.19784,3.94335,06/16/2017 15:59:04.218555520
-2.19784,3.94236,06/16/2017 15:59:05.218057740
-2.19784,3.94139,06/16/2017 15:59:06.217559780
-2.19784,3.94041,06/16/2017 15:59:07.217050080
-2.19784,3.93949,06/16/2017 15:59:08.216555960
-2.19784,3.93857,06/16/2017 15:59:09.216057200
-2.19784,3.93768,06/16/2017 15:59:10.215531140
-2.19784,3.9368,06/16/2017 15:59:11.215017820
-2.19784,3.9359,06/16/2017 15:59:12.214509340
-2.19784,3.93505,06/16/2017 15:59:13.213995340
-2.19784,3.93419,06/16/2017 15:59:14.213481540
-2.19784,3.93334,06/16/2017 15:59:15.213587160
-2.19784,3.93252,06/16/2017 15:59:16.213094960
-2.19784,3.93171,06/16/2017 15:59:17.212650440
-2.19784,3.93091,06/16/2017 15:59:18.212197940
-2.19784,3.93012,06/16/2017 15:59:19.211695620
-2.19784,3.92933,06/16/2017 15:59:20.211206760
-2.19784,3.92856,06/16/2017 15:59:21.210708840
-2.19784,3.92779,06/16/2017 15:59:22.210216420
-2.19784,3.92705,06/16/2017 15:59:23.209718700
-2.19784,3.9263,06/16/2017 15:59:24.209255340
-2.19784,3.92556,06/16/2017 15:59:25.208764620
-2.19784,3.9248,06/16/2017 15:59:26.208255680
-2.19784,3.92409,06/16/2017 15:59:27.207728440
-2.19784,3.92339,06/16/2017 15:59:28.207215360
-2.19784,3.92269,06/16/2017 15:59:29.206696260
-2.19784,3.922,06/16/2017 15:59:30.206179220
-2.19784,3.92132,06/16/2017 15:59:31.205653580
-2.19784,3.92064,06/16/2017 15:59:32.205110940
-2.19784,3.91998,06/16/2017 15:59:33.204624460
-2.19784,3.91931,06/16/2017 15:59:34.204076680
-2.19784,3.91865,06/16/2017 15:59:35.203558560
-2.19784,3.918,06/16/2017 15:59:36.203089580
-2.19784,3.91736,06/16/2017 15:59:37.202598960
-2.19784,3.91672,06/16/2017 15:59:38.202072280
-2.19784,3.91609,06/16/2017 15:59:39.201617440
-2.19784,3.91546,06/16/2017 15:59:40.201078140
-2.19784,3.91484,06/16/2017 15:59:41.200534340
-2.19784,3.91423,06/16/2017 15:59:42.200011060
-2.19784,3.91361,06/16/2017 15:59:43.199503560
-2.19785,3.91301,06/16/2017 15:59:44.198980140
-2.19784,3.91242,06/16/2017 15:59:45.198460400
-2.19784,3.91182,06/16/2017 15:59:46.197940680
-2.19784,3.91123,06/16/2017 15:59:47.197430100
-2.19784,3.91065,06/16/2017 15:59:48.196957260
-2.19784,3.91007,06/16/2017 15:59:49.196433620
-2.19784,3.90949,06/16/2017 15:59:50.195911800
-2.19784,3.90894,06/16/2017 15:59:51.195388340
-2.19784,3.90836,06/16/2017 15:59:52.194837800
-2.19784,3.90781,06/16/2017 15:59:53.194293100
-2.19784,3.90725,06/16/2017 15:59:54.193801500
-2.19784,3.9067,06/16/2017 15:59:55.193307400
-2.19784,3.90615,06/16/2017 15:59:56.192768760
-2.19784,3.90561,06/16/2017 15:59:57.192266580
-2.19784,3.90507,06/16/2017 15:59:58.191761440
-2.19784,3.90453,06/16/2017 15:59:59.191264920
-2.19784,3.90401,06/16/2017 16:00:00.190764040
-2.19784,3.90348,06/16/2017 16:00:01.190223900
-2.19784,3.90295,06/16/2017 16:00:02.189675960
-2.19784,3.90243,06/16/2017 16:00:03.189204760
-2.19784,3.90191,06/16/2017 16:00:04.188699500
-2.19784,3.9014,06/16/2017 16:00:05.188184360
-2.19784,3.90088,06/16/2017 16:00:06.187699320
-2.19784,3.90037,06/16/2017 16:00:07.187184600
-2.19784,3.89986,06/16/2017 16:00:08.186661500
-2.19784,3.89937,06/16/2017 16:00:09.186128640
-2.19784,3.89887,06/16/2017 16:00:10.185636320
-2.19784,3.89838,06/16/2017 16:00:11.185112160
-2.19784,3.89788,06/16/2017 16:00:12.184599020
-2.19784,3.89738,06/16/2017 16:00:13.184138100
-2.19784,3.8969,06/16/2017 16:00:14.183609380
-2.19784,3.89642,06/16/2017 16:00:15.183084100
-2.19784,3.89593,06/16/2017 16:00:16.182565760
-2.19784,3.89545,06/16/2017 16:00:17.182029520
-2.19784,3.89497,06/16/2017 16:00:18.181488260
-2.19784,3.8945,06/16/2017 16:00:19.181014300
-2.19784,3.89402,06/16/2017 16:00:20.180482160
-2.19784,3.89355,06/16/2017 16:00:21.179972840
-2.19784,3.89309,06/16/2017 16:00:22.179437060
-2.19784,3.89262,06/16/2017 16:00:23.178903420
-2.19784,3.89216,06/16/2017 16:00:24.178417860
-2.19783,3.8917,06/16/2017 16:00:25.177881700
-2.19784,3.89123,06/16/2017 16:00:26.177383400
-2.19784,3.89078,06/16/2017 16:00:27.176867600
-2.19784,3.89031,06/16/2017 16:00:28.176354580
-2.19784,3.88987,06/16/2017 16:00:29.175844820
-2.19784,3.88942,06/16/2017 16:00:30.175354360
-2.19784,3.88897,06/16/2017 16:00:31.174903560
-2.19784,3.88852,06/16/2017 16:00:32.174397920
-2.19784,3.88808,06/16/2017 16:00:33.173873400
-2.19784,3.88763,06/16/2017 16:00:34.173392060
-2.19784,3.8872,06/16/2017 16:00:35.172865020
-2.19784,3.88675,06/16/2017 16:00:36.172361900
-2.19784,3.88632,06/16/2017 16:00:37.171844880
-2.19784,3.88588,06/16/2017 16:00:38.171361180
-2.19784,3.88545,06/16/2017 16:00:39.170834540
-2.19784,3.88501,06/16/2017 16:00:40.170320280
-2.19784,3.88458,06/16/2017 16:00:41.169788040
-2.19784,3.88415,06/16/2017 16:00:42.169274740
-2.19784,3.88372,06/16/2017 16:00:43.168740000
-2.19784,3.8833,06/16/2017 16:00:44.168222940
-2.19784,3.88287,06/16/2017 16:00:45.167688160
-2.19784,3.88245,06/16/2017 16:00:46.167163980
-2.19784,3.88203,06/16/2017 16:00:47.166656180
-2.19784,3.8816,06/16/2017 16:00:48.166124280
-2.19784,3.88119,06/16/2017 16:00:49.165647540
-2.19784,3.88078,06/16/2017 16:00:50.165137520
-2.19784,3.88034,06/16/2017 16:00:51.164610240
-2.19784,3.87994,06/16/2017 16:00:52.164086600
-2.19784,3.87952,06/16/2017 16:00:53.163575160
-2.19784,3.87912,06/16/2017 16:00:54.163086280
-2.19784,3.87871,06/16/2017 16:00:55.162562020
-2.19784,3.87828,06/16/2017 16:00:56.162067240
-2.19784,3.87789,06/16/2017 16:00:57.161558240
-2.19784,3.87748,06/16/2017 16:00:58.161032300
-2.19784,3.87707,06/16/2017 16:00:59.160535640
-2.19784,3.87665,06/16/2017 16:01:00.160038800
-2.19784,3.87625,06/16/2017 16:01:01.159557200
-2.19784,3.87584,06/16/2017 16:01:02.159095640
-2.19784,3.87545,06/16/2017 16:01:03.158579160
-2.19784,3.87504,06/16/2017 16:01:04.158066620
-2.19784,3.87466,06/16/2017 16:01:05.157570040
-2.19784,3.87426,06/16/2017 16:01:06.157041680
-2.19784,3.87384,06/16/2017 16:01:07.156581720
-2.19784,3.87345,06/16/2017 16:01:08.156110620
-2.19784,3.87308,06/16/2017 16:01:09.155598620
-2.19784,3.87266,06/16/2017 16:01:10.155089140
-2.19784,3.87226,06/16/2017 16:01:11.154608120
-2.19784,3.87188,06/16/2017 16:01:12.154093500
-2.19784,3.87147,06/16/2017 16:01:13.153589740
-2.19784,3.87109,06/16/2017 16:01:14.153122080
-2.19784,3.87069,06/16/2017 16:01:15.152622240
-2.19784,3.87031,06/16/2017 16:01:16.152106280
-2.19784,3.86993,06/16/2017 16:01:17.151605600
-2.19784,3.86953,06/16/2017 16:01:18.151073580
-2.19784,3.86916,06/16/2017 16:01:19.150553880
-2.19784,3.86875,06/16/2017 16:01:20.150067380
-2.19784,3.86838,06/16/2017 16:01:21.149537100
-2.19784,3.86798,06/16/2017 16:01:22.149295780
-2.19784,3.86762,06/16/2017 16:01:23.148772500
-2.19784,3.86722,06/16/2017 16:01:24.148217320
-2.19784,3.86684,06/16/2017 16:01:25.147702220
-2.19784,3.86646,06/16/2017 16:01:26.147200540
-2.19784,3.86607,06/16/2017 16:01:27.146745800
-2.19784,3.86571,06/16/2017 16:01:28.146207220
-2.19784,3.86532,06/16/2017 16:01:29.145705720
-2.19784,3.86495,06/16/2017 16:01:30.145205160
-2.19784,3.86457,06/16/2017 16:01:31.144690580
-2.19784,3.86419,06/16/2017 16:01:32.144180240
-2.19784,3.86381,06/16/2017 16:01:33.143708780
-2.19784,3.86345,06/16/2017 16:01:34.143244080
-2.19784,3.86306,06/16/2017 16:01:35.142720340
-2.19784,3.86269,06/16/2017 16:01:36.142200740
-2.19784,3.86234,06/16/2017 16:01:37.141682780
-2.19784,3.86195,06/16/2017 16:01:38.141180240
-2.19784,3.86159,06/16/2017 16:01:39.140667840
-2.19784,3.86121,06/16/2017 16:01:40.140149980
-2.19784,3.86083,06/16/2017 16:01:41.139642480
-2.19784,3.86047,06/16/2017 16:01:42.139138500
-2.19784,3.86011,06/16/2017 16:01:43.138612120
-2.19784,3.85973,06/16/2017 16:01:44.138091780
-2.19784,3.85936,06/16/2017 16:01:45.137631460
-2.19784,3.85899,06/16/2017 16:01:46.137173480
-2.19784,3.85863,06/16/2017 16:01:47.136650560
-2.19784,3.85826,06/16/2017 16:01:48.136124660
-2.19784,3.8579,06/16/2017 16:01:49.135615760
-2.19784,3.85753,06/16/2017 16:01:50.135111360
-2.19784,3.85718,06/16/2017 16:01:51.134584480
-2.19784,3.8568,06/16/2017 16:01:52.134070440
-2.19784,3.85644,06/16/2017 16:01:53.133544240
-2.19784,3.85607,06/16/2017 16:01:54.133088280
-2.19784,3.85571,06/16/2017 16:01:55.132557080
-2.19784,3.85536,06/16/2017 16:01:56.132033400
-2.19784,3.85499,06/16/2017 16:01:57.131528580
-2.19784,3.85462,06/16/2017 16:01:58.131028680
-2.19784,3.85427,06/16/2017 16:01:59.130491920
-2.19784,3.85391,06/16/2017 16:02:00.129952320
-2.19784,3.85356,06/16/2017 16:02:01.129446040
-2.19784,3.8532,06/16/2017 16:02:02.128924920
