Iteration: 	11261	 current: 	-0.0086056319997	 voltage: 	3.6436467171	 time: 	06/14/2017 23:21:39.883851900
Iteration:	1	 current:	-0.0086056319997	 voltage:	3.6436467171	 time:	06/14/2017 23:21:39.883851900
Iteration: 	11262	 current: 	1.0836189985	 voltage: 	3.7300100327	 time: 	06/14/2017 23:21:40.903391760	 deltatime: 	0	 cap [mAh]	0	 cap total [mAh]	0
Iteration: 	11263	 current: 	1.1000683308	 voltage: 	3.7391393185	 time: 	06/14/2017 23:21:41.963565000	 deltatime: 	1.06032072	 cap [mAh]	0.32400701237	 cap total [mAh]	0.32400701237
Iteration: 	11264	 current: 	1.1000615358	 voltage: 	3.7405986786	 time: 	06/14/2017 23:21:42.960466460	 deltatime: 	0.99690918	 cap [mAh]	0.30462817879	 cap total [mAh]	0.62863519116
Iteration: 	11265	 current: 	1.1000683308	 voltage: 	3.7418191433	 time: 	06/14/2017 23:21:43.957385640	 deltatime: 	0.99691264	 cap [mAh]	0.30463111772	 cap total [mAh]	0.93326630888
Iteration: 	11266	 current: 	1.100063324	 voltage: 	3.7428860664	 time: 	06/14/2017 23:21:44.954271420	 deltatime: 	0.99688896	 cap [mAh]	0.30462249527	 cap total [mAh]	1.2378888041
Iteration: 	11267	 current: 	1.1000689268	 voltage: 	3.7438652515	 time: 	06/14/2017 23:21:45.951140720	 deltatime: 	0.99686862	 cap [mAh]	0.30461783138	 cap total [mAh]	1.5425066355
Iteration: 	11268	 current: 	1.100069046	 voltage: 	3.7447705269	 time: 	06/14/2017 23:21:46.948002620	 deltatime: 	0.99686858	 cap [mAh]	0.30461785217	 cap total [mAh]	1.8471244877
Iteration: 	11269	 current: 	1.100070715	 voltage: 	3.7456092834	 time: 	06/14/2017 23:21:47.944867160	 deltatime: 	0.99686456	 cap [mAh]	0.3046170859	 cap total [mAh]	2.1517415736
Iteration: 	11270	 current: 	1.1000696421	 voltage: 	3.7464153767	 time: 	06/14/2017 23:21:48.941756320	 deltatime: 	0.99687534	 cap [mAh]	0.30462008291	 cap total [mAh]	2.4563616565
Iteration: 	11271	 current: 	1.1000714302	 voltage: 	3.7471761703	 time: 	06/14/2017 23:21:49.938628640	 deltatime: 	0.99687392	 cap [mAh]	0.30462014414	 cap total [mAh]	2.7609818006
Iteration: 	11272	 current: 	1.1000733376	 voltage: 	3.7478895187	 time: 	06/14/2017 23:21:50.935497340	 deltatime: 	0.99686842	 cap [mAh]	0.30461899164	 cap total [mAh]	3.0656007923
Iteration: 	11273	 current: 	1.1000709534	 voltage: 	3.7485864162	 time: 	06/14/2017 23:21:51.932354740	 deltatime: 	0.99686068	 cap [mAh]	0.30461596628	 cap total [mAh]	3.3702167586
Iteration: 	11274	 current: 	1.100069046	 voltage: 	3.7492468357	 time: 	06/14/2017 23:21:52.929215780	 deltatime: 	0.99686606	 cap [mAh]	0.30461708212	 cap total [mAh]	3.6748338407
Iteration: 	11275	 current: 	1.1000742912	 voltage: 	3.7498905659	 time: 	06/14/2017 23:21:53.926052040	 deltatime: 	0.99684008	 cap [mAh]	0.30461059569	 cap total [mAh]	3.9794444364
Iteration: 	11276	 current: 	1.1000752449	 voltage: 	3.7505037785	 time: 	06/14/2017 23:21:54.922926640	 deltatime: 	0.99685002	 cap [mAh]	0.30461389719	 cap total [mAh]	4.2840583336
Iteration: 	11277	 current: 	1.1000694036	 voltage: 	3.751095295	 time: 	06/14/2017 23:21:55.919809200	 deltatime: 	0.99688014	 cap [mAh]	0.30462148364	 cap total [mAh]	4.5886798172
Iteration: 	11278	 current: 	1.1000708342	 voltage: 	3.751657486	 time: 	06/14/2017 23:21:56.916652020	 deltatime: 	0.99687078	 cap [mAh]	0.30461901958	 cap total [mAh]	4.8932988368
Iteration: 	11279	 current: 	1.1000688076	 voltage: 	3.7522239685	 time: 	06/14/2017 23:21:57.913503320	 deltatime: 	0.99684644	 cap [mAh]	0.30461102073	 cap total [mAh]	5.1979098575
Iteration: 	11280	 current: 	1.100071907	 voltage: 	3.7527573109	 time: 	06/14/2017 23:21:58.910365300	 deltatime: 	0.99687128	 cap [mAh]	0.30461946946	 cap total [mAh]	5.502529327
Iteration: 	11281	 current: 	1.100071311	 voltage: 	3.7532787323	 time: 	06/14/2017 23:21:59.907234840	 deltatime: 	0.9968634	 cap [mAh]	0.30461689648	 cap total [mAh]	5.8071462235
Iteration: 	11282	 current: 	1.1000754833	 voltage: 	3.7537884712	 time: 	06/14/2017 23:22:00.904132760	 deltatime: 	0.9968648	 cap [mAh]	0.30461847963	 cap total [mAh]	6.1117647031
Iteration: 	11283	 current: 	1.1000676155	 voltage: 	3.7542793751	 time: 	06/14/2017 23:22:01.900999300	 deltatime: 	0.99689464	 cap [mAh]	0.30462541932	 cap total [mAh]	6.4163901224
Iteration: 	11284	 current: 	1.1000708342	 voltage: 	3.7547593117	 time: 	06/14/2017 23:22:02.897959820	 deltatime: 	0.99694608	 cap [mAh]	0.3046420294	 cap total [mAh]	6.7210321518
Iteration: 	11285	 current: 	1.1000671387	 voltage: 	3.7552297115	 time: 	06/14/2017 23:22:03.894823080	 deltatime: 	0.99687462	 cap [mAh]	0.30461916968	 cap total [mAh]	7.0256513215
Iteration: 	11286	 current: 	1.1000716686	 voltage: 	3.7556884289	 time: 	06/14/2017 23:22:04.891687240	 deltatime: 	0.99686954	 cap [mAh]	0.30461887174	 cap total [mAh]	7.3302701932
Iteration: 	11287	 current: 	1.1000677347	 voltage: 	3.756128788	 time: 	06/14/2017 23:22:05.888534520	 deltatime: 	0.9968435	 cap [mAh]	0.30460982525	 cap total [mAh]	7.6348800185
Iteration: 	11288	 current: 	1.1000692844	 voltage: 	3.7565672398	 time: 	06/14/2017 23:22:06.885396240	 deltatime: 	0.99687412	 cap [mAh]	0.30461961107	 cap total [mAh]	7.9394996296
Iteration: 	11289	 current: 	1.1000680923	 voltage: 	3.7569971085	 time: 	06/14/2017 23:22:07.882251100	 deltatime: 	0.99683928	 cap [mAh]	0.30460863476	 cap total [mAh]	8.2441082643
Iteration: 	11290	 current: 	1.1000686884	 voltage: 	3.7574064732	 time: 	06/14/2017 23:22:08.879118340	 deltatime: 	0.99686916	 cap [mAh]	0.30461793037	 cap total [mAh]	8.5487261947
Iteration: 	11291	 current: 	1.1000705957	 voltage: 	3.7578094006	 time: 	06/14/2017 23:22:09.875980840	 deltatime: 	0.99687804	 cap [mAh]	0.30462117204	 cap total [mAh]	8.8533473667
Iteration: 	11292	 current: 	1.1000694036	 voltage: 	3.7582111359	 time: 	06/14/2017 23:22:10.872860860	 deltatime: 	0.99686024	 cap [mAh]	0.3046154027	 cap total [mAh]	9.1579627694
Iteration: 	11293	 current: 	1.1000695229	 voltage: 	3.758597374	 time: 	06/14/2017 23:22:11.872199420	 deltatime: 	0.99933402	 cap [mAh]	0.30537136071	 cap total [mAh]	9.4633341301
Iteration: 	11294	 current: 	1.1000647545	 voltage: 	3.7589766979	 time: 	06/14/2017 23:22:12.871497480	 deltatime: 	0.99931126	 cap [mAh]	0.30536308219	 cap total [mAh]	9.7686972123
Iteration: 	11295	 current: 	1.1000649929	 voltage: 	3.7593541145	 time: 	06/14/2017 23:22:13.870888620	 deltatime: 	0.99937016	 cap [mAh]	0.30538114666	 cap total [mAh]	10.074078359
Iteration: 	11296	 current: 	1.1000692844	 voltage: 	3.759721756	 time: 	06/14/2017 23:22:14.870226260	 deltatime: 	0.99933896	 cap [mAh]	0.30537280407	 cap total [mAh]	10.379451163
Iteration: 	11297	 current: 	1.1000679731	 voltage: 	3.7600774765	 time: 	06/14/2017 23:22:15.869537580	 deltatime: 	0.99932576	 cap [mAh]	0.30536840647	 cap total [mAh]	10.68481957
Iteration: 	11298	 current: 	1.1000659466	 voltage: 	3.7604300976	 time: 	06/14/2017 23:22:16.868947020	 deltatime: 	0.99941752	 cap [mAh]	0.30539588338	 cap total [mAh]	10.990215453
Iteration: 	11299	 current: 	1.100065589	 voltage: 	3.7607731819	 time: 	06/14/2017 23:22:17.868252860	 deltatime: 	0.99930288	 cap [mAh]	0.30536075312	 cap total [mAh]	11.295576206
