Iteration:	Current:	Voltage:	Time:
1	1.0836189985	3.7300100327	06/14/2017 23:21:40.903391760
2	1.1000683308	3.7391393185	06/14/2017 23:21:41.963565000
3	1.1000615358	3.7405986786	06/14/2017 23:21:42.960466460
4	1.1000683308	3.7418191433	06/14/2017 23:21:43.957385640
5	1.100063324	3.7428860664	06/14/2017 23:21:44.954271420
6	1.1000689268	3.7438652515	06/14/2017 23:21:45.951140720
7	1.100069046	3.7447705269	06/14/2017 23:21:46.948002620
8	1.100070715	3.7456092834	06/14/2017 23:21:47.944867160
9	1.1000696421	3.7464153767	06/14/2017 23:21:48.941756320
10	1.1000714302	3.7471761703	06/14/2017 23:21:49.938628640
11	1.1000733376	3.7478895187	06/14/2017 23:21:50.935497340
12	1.1000709534	3.7485864162	06/14/2017 23:21:51.932354740
13	1.100069046	3.7492468357	06/14/2017 23:21:52.929215780
14	1.1000742912	3.7498905659	06/14/2017 23:21:53.926052040
15	1.1000752449	3.7505037785	06/14/2017 23:21:54.922926640
16	1.1000694036	3.751095295	06/14/2017 23:21:55.919809200
17	1.1000708342	3.751657486	06/14/2017 23:21:56.916652020
18	1.1000688076	3.7522239685	06/14/2017 23:21:57.913503320
19	1.100071907	3.7527573109	06/14/2017 23:21:58.910365300
20	1.100071311	3.7532787323	06/14/2017 23:21:59.907234840
21	1.1000754833	3.7537884712	06/14/2017 23:22:00.904132760
22	1.1000676155	3.7542793751	06/14/2017 23:22:01.900999300
23	1.1000708342	3.7547593117	06/14/2017 23:22:02.897959820
24	1.1000671387	3.7552297115	06/14/2017 23:22:03.894823080
25	1.1000716686	3.7556884289	06/14/2017 23:22:04.891687240
26	1.1000677347	3.756128788	06/14/2017 23:22:05.888534520
27	1.1000692844	3.7565672398	06/14/2017 23:22:06.885396240
28	1.1000680923	3.7569971085	06/14/2017 23:22:07.882251100
29	1.1000686884	3.7574064732	06/14/2017 23:22:08.879118340
30	1.1000705957	3.7578094006	06/14/2017 23:22:09.875980840
31	1.1000694036	3.7582111359	06/14/2017 23:22:10.872860860
32	1.1000695229	3.758597374	06/14/2017 23:22:11.872199420
