Iteration: 	23096	 current: 	-0.0011827640701	 voltage: 	4.1771416664	 time: 	06/15/2017 04:09:02.573228340
Iteration: 	23097	 current: 	-5.8192996979	 voltage: 	3.7137665749	 time: 	06/15/2017 04:09:03.714066560	 deltatime: 	0	 cap [mAh]	0	 cap total [mAh]	0
Iteration: 	23098	 current: 	-3.0811975002	 voltage: 	3.8796482086	 time: 	06/15/2017 04:09:04.711898540	 deltatime: 	0.99796252	 cap [mAh]	-0.85414433943	 cap total [mAh]	-0.85414433943
Iteration: 	23099	 current: 	-3.410330534	 voltage: 	3.8687813282	 time: 	06/15/2017 04:09:05.709752900	 deltatime: 	0.99784972	 cap [mAh]	-0.94527704679	 cap total [mAh]	-1.7994213862
Iteration: 	23100	 current: 	-0.078577771783	 voltage: 	4.1231398582	 time: 	06/15/2017 04:09:06.707601120	 deltatime: 	0.99783918	 cap [mAh]	-0.021779994267	 cap total [mAh]	-1.8212013805
Iteration: 	23101	 current: 	-6.2725553513	 voltage: 	3.6657459736	 time: 	06/15/2017 04:09:07.705432420	 deltatime: 	0.997853	 cap [mAh]	-1.7386356041	 cap total [mAh]	-3.5598369846
Iteration: 	23102	 current: 	-5.8205180168	 voltage: 	3.6449811459	 time: 	06/15/2017 04:09:08.703313400	 deltatime: 	0.99785344	 cap [mAh]	-1.6133399794	 cap total [mAh]	-5.173176964
Iteration: 	23103	 current: 	-5.2558412552	 voltage: 	3.6836051941	 time: 	06/15/2017 04:09:09.701139080	 deltatime: 	0.9978589	 cap [mAh]	-1.4568299926	 cap total [mAh]	-6.6300069566
Iteration: 	23104	 current: 	-1.6553287506	 voltage: 	3.9640927315	 time: 	06/15/2017 04:09:10.698930680	 deltatime: 	0.99778802	 cap [mAh]	-0.45879644348	 cap total [mAh]	-7.0888034001
Iteration: 	23105	 current: 	-3.9607064724	 voltage: 	3.8115816116	 time: 	06/15/2017 04:09:11.696752360	 deltatime: 	0.99781534	 cap [mAh]	-1.0977926876	 cap total [mAh]	-8.1865960877
Iteration: 	23106	 current: 	-4.8623480797	 voltage: 	3.719802618	 time: 	06/15/2017 04:09:12.694566720	 deltatime: 	0.99780588	 cap [mAh]	-1.3476887513	 cap total [mAh]	-9.534284839
Iteration: 	23107	 current: 	-0.23632088304	 voltage: 	4.0708665848	 time: 	06/15/2017 04:09:13.692373140	 deltatime: 	0.99779238	 cap [mAh]	-0.065499771202	 cap total [mAh]	-9.5997846102
Iteration: 	23108	 current: 	-4.9832482338	 voltage: 	3.7375581264	 time: 	06/15/2017 04:09:14.690188380	 deltatime: 	0.99781588	 cap [mAh]	-1.3812122838	 cap total [mAh]	-10.980996894
Iteration: 	23109	 current: 	-5.0673308372	 voltage: 	3.6894237995	 time: 	06/15/2017 04:09:15.688005380	 deltatime: 	0.99781864	 cap [mAh]	-1.4045214346	 cap total [mAh]	-12.385518329
Iteration: 	23110	 current: 	-2.1731276512	 voltage: 	3.910119772	 time: 	06/15/2017 04:09:16.685826920	 deltatime: 	0.9978211	 cap [mAh]	-0.60233128427	 cap total [mAh]	-12.987849613
Iteration: 	23111	 current: 	-5.6753487587	 voltage: 	3.6569373608	 time: 	06/15/2017 04:09:17.683682560	 deltatime: 	0.99784754	 cap [mAh]	-1.5730924438	 cap total [mAh]	-14.560942057
Iteration: 	23112	 current: 	-0.96054852009	 voltage: 	3.9954352379	 time: 	06/15/2017 04:09:18.681499280	 deltatime: 	0.99783998	 cap [mAh]	-0.26624269891	 cap total [mAh]	-14.827184755
Iteration: 	23113	 current: 	-1.225394249	 voltage: 	4.0127663612	 time: 	06/15/2017 04:09:19.679278820	 deltatime: 	0.99779038	 cap [mAh]	-0.33963516481	 cap total [mAh]	-15.16681992
Iteration: 	23114	 current: 	-0.35593667626	 voltage: 	4.0812549591	 time: 	06/15/2017 04:09:20.677111900	 deltatime: 	0.99781222	 cap [mAh]	-0.098654990312	 cap total [mAh]	-15.265474911
Iteration: 	23115	 current: 	-1.2152597904	 voltage: 	4.023680687	 time: 	06/15/2017 04:09:21.674900200	 deltatime: 	0.99779764	 cap [mAh]	-0.33682870857	 cap total [mAh]	-15.602303619
Iteration: 	23116	 current: 	-4.8761348724	 voltage: 	3.7306602001	 time: 	06/15/2017 04:09:22.672727900	 deltatime: 	0.9978066	 cap [mAh]	-1.3515109884	 cap total [mAh]	-16.953814608
Iteration: 	23117	 current: 	-6.1425504684	 voltage: 	3.5969891548	 time: 	06/15/2017 04:09:23.670569260	 deltatime: 	0.99784324	 cap [mAh]	-1.702584017	 cap total [mAh]	-18.656398625
Iteration: 	23118	 current: 	-5.9443655014	 voltage: 	3.5954296589	 time: 	06/15/2017 04:09:24.668395660	 deltatime: 	0.99782056	 cap [mAh]	-1.6476139204	 cap total [mAh]	-20.304012545
Iteration: 	23119	 current: 	-4.5014500618	 voltage: 	3.7034595013	 time: 	06/15/2017 04:09:25.666260820	 deltatime: 	0.99787444	 cap [mAh]	-1.2477449888	 cap total [mAh]	-21.551757534
Iteration: 	23120	 current: 	-0.57750618458	 voltage: 	4.0186815262	 time: 	06/15/2017 04:09:26.664088240	 deltatime: 	0.99781392	 cap [mAh]	-0.16006769718	 cap total [mAh]	-21.711825231
Iteration: 	23121	 current: 	-1.8687044382	 voltage: 	3.9519047737	 time: 	06/15/2017 04:09:27.661955000	 deltatime: 	0.99787252	 cap [mAh]	-0.51798022414	 cap total [mAh]	-22.229805455
Iteration: 	23122	 current: 	-4.3807749748	 voltage: 	3.7462565899	 time: 	06/15/2017 04:09:28.659768760	 deltatime: 	0.9978345	 cap [mAh]	-1.2142467796	 cap total [mAh]	-23.444052235
Iteration: 	23123	 current: 	-6.3737220764	 voltage: 	3.5663807392	 time: 	06/15/2017 04:09:29.657616360	 deltatime: 	0.9978338	 cap [mAh]	-1.7666431443	 cap total [mAh]	-25.210695379
Iteration: 	23124	 current: 	-3.0839090347	 voltage: 	3.8032982349	 time: 	06/15/2017 04:09:30.655465280	 deltatime: 	0.99784724	 cap [mAh]	-0.8547972552	 cap total [mAh]	-26.065492634
Iteration: 	23125	 current: 	-6.6318507195	 voltage: 	3.5470073223	 time: 	06/15/2017 04:09:31.653326200	 deltatime: 	0.99785194	 cap [mAh]	-1.8382236406	 cap total [mAh]	-27.903716275
Iteration: 	23126	 current: 	-4.7454514503	 voltage: 	3.663649559	 time: 	06/15/2017 04:09:32.651162140	 deltatime: 	0.9978573	 cap [mAh]	-1.3153564921	 cap total [mAh]	-29.219072767
