nIteration:	Current:	Voltage:	Time:

1	1.0850585699	3.7405569553	06/15/2017 04:59:07.166112220
2	1.1000669003	3.749694109	06/15/2017 04:59:08.228814840
3	1.100071907	3.7511637211	06/15/2017 04:59:09.225725500
4	1.1000696421	3.7523756027	06/15/2017 04:59:10.222640800
5	1.1000717878	3.7534506321	06/15/2017 04:59:11.219547120
6	1.1000697613	3.754424572	06/15/2017 04:59:12.216514080
7	1.1000670195	3.7553248405	06/15/2017 04:59:13.213440320
8	1.1000665426	3.7561731339	06/15/2017 04:59:14.210421620
9	1.100070715	3.7569756508	06/15/2017 04:59:15.207311760
10	1.1000708342	3.7577316761	06/15/2017 04:59:16.204266460
11	1.1000685692	3.7584490776	06/15/2017 04:59:17.201162060
12	1.1000742912	3.7591414452	06/15/2017 04:59:18.198060820
13	1.100066781	3.7597892284	06/15/2017 04:59:19.194953500
14	1.1000682116	3.7604262829	06/15/2017 04:59:20.191854400
15	1.100073576	3.7610430717	06/15/2017 04:59:21.188745500
16	1.1000658274	3.7616302967	06/15/2017 04:59:22.185656280
17	1.100070715	3.7621982098	06/15/2017 04:59:23.182563580
18	1.1000711918	3.762748003	06/15/2017 04:59:24.179465840
19	1.1000725031	3.7632827759	06/15/2017 04:59:25.176387440
20	1.1000733376	3.7638008595	06/15/2017 04:59:26.173292640
21	1.1000691652	3.7643082142	06/15/2017 04:59:27.170209200
22	1.1000702381	3.7647898197	06/15/2017 04:59:28.167121260
23	1.1000679731	3.7652719021	06/15/2017 04:59:29.164017620
24	1.1000680923	3.7657361031	06/15/2017 04:59:30.160960760
25	1.1000701189	3.7661910057	06/15/2017 04:59:31.157888160
26	1.1000691652	3.7666277885	06/15/2017 04:59:32.154778620
27	1.100071907	3.7670629025	06/15/2017 04:59:33.151682140
28	1.1000791788	3.7674911022	06/15/2017 04:59:34.148576240
29	1.1000757217	3.7678999901	06/15/2017 04:59:35.145452620
30	1.1000752449	3.7683029175	06/15/2017 04:59:36.142362040
31	1.1000708342	3.7686975002	06/15/2017 04:59:37.139253520
32	1.1000766754	3.7690827847	06/15/2017 04:59:38.138620520
33	1.1000761986	3.7694637775	06/15/2017 04:59:39.137991160
34	1.1000727415	3.7698321342	06/15/2017 04:59:40.137372340
35	1.1000702381	3.7701904774	06/15/2017 04:59:41.136719840
36	1.1000708342	3.7705574036	06/15/2017 04:59:42.136045140
37	1.1000727415	3.7708990574	06/15/2017 04:59:43.135391100
38	1.1000674963	3.7712388039	06/15/2017 04:59:44.134777480
39	1.1000714302	3.7715759277	06/15/2017 04:59:45.134194780
40	1.1000704765	3.771910429	06/15/2017 04:59:46.133594700
41	1.1000671387	3.772231102	06/15/2017 04:59:47.133010180
42	1.1000629663	3.7725479603	06/15/2017 04:59:48.132365580
43	1.1000638008	3.7728536129	06/15/2017 04:59:49.131714860
44	1.1000698805	3.773170948	06/15/2017 04:59:50.131068500
45	1.1000692844	3.773465395	06/15/2017 04:59:51.130413120
46	1.1000652313	3.7737693787	06/15/2017 04:59:52.129760720
47	1.1000696421	3.7740626335	06/15/2017 04:59:53.129124380
48	1.1000680923	3.7743468285	06/15/2017 04:59:54.128514760
49	1.1000714302	3.7746357918	06/15/2017 04:59:55.127923920
50	1.1000730991	3.774913311	06/15/2017 04:59:56.127288740
51	1.1000748873	3.775188446	06/15/2017 04:59:57.126645100
52	1.1000745296	3.7754583359	06/15/2017 04:59:58.125998060
53	1.1000721455	3.7757184505	06/15/2017 04:59:59.125370620
54	1.100074172	3.7759845257	06/15/2017 05:00:00.124793800
55	1.1000702381	3.7762417793	06/15/2017 05:00:01.124157780
56	1.1000670195	3.7765049934	06/15/2017 05:00:02.123543800
57	1.1000763178	3.7767541409	06/15/2017 05:00:03.122881740
58	1.1000721455	3.7770020962	06/15/2017 05:00:04.122235200
